nose_X,nose_Y,left_eye_X,left_eye_Y,right_eye_X,right_eye_Y,left_ear_X,left_ear_Y,right_ear_X,right_ear_Y,left_shoulder_X,left_shoulder_Y,right_shoulder_X,right_shoulder_Y,left_elbow_X,left_elbow_Y,right_elbow_X,right_elbow_Y,left_wrist_X,left_wrist_Y,right_wrist_X,right_wrist_Y
0.10845296084880829,0.18811771273612976,0.07979924231767654,0.21165601909160614,0.07238341867923737,0.1475141942501068,0.1116034984588623,0.20873522758483887,0.10003690421581268,0.06047626957297325,0.29970675706863403,0.17041312158107758,0.2472745180130005,0.023571625351905823,0.5760629773139954,0.21664679050445557,0.536023736000061,0.012800822034478188,0.8055896759033203,0.2388724982738495,,
0.6774649024009705,0.8129869699478149,0.6454977989196777,0.8449393510818481,0.6214997172355652,0.806433916091919,0.623115599155426,0.8274768590927124,0.5625998973846436,0.7191097736358643,0.7073585987091064,0.7407030463218689,0.6512519121170044,0.58260178565979,0.8763489723205566,0.8472084403038025,0.7742605209350586,0.6657341718673706,0.8509411215782166,0.8475683927536011,,
0.5459390878677368,0.40610748529434204,0.48809677362442017,0.40171557664871216,0.5173578262329102,0.3894253969192505,0.39419102668762207,0.4898856282234192,0.4454607367515564,0.4475981593132019,0.44314080476760864,0.67530357837677,0.5681507587432861,0.5589897036552429,0.7144953012466431,0.3261241912841797,0.7199865579605103,0.34979963302612305,0.5501174926757812,0.3338836133480072,0.5614310503005981,0.3314606547355652
,,,,,,0.36372655630111694,0.21946370601654053,0.3794935345649719,0.4265284240245819,0.6623916625976562,0.09819715470075607,0.6540722250938416,0.4402701258659363,0.9744893908500671,0.03852086514234543,0.9819698333740234,0.517050564289093,,,,
0.2905679941177368,0.49521979689598083,0.2528902292251587,0.48128801584243774,0.24600616097450256,0.45803725719451904,0.2774481177330017,0.32044240832328796,0.2750900387763977,0.2767032980918884,0.5169957876205444,0.41370344161987305,0.44300660490989685,0.18795233964920044,0.8551570177078247,0.5994338989257812,,,0.5455400943756104,0.6875759959220886,0.49975132942199707,0.6563640236854553
0.8453680276870728,0.4255298972129822,0.8157261610031128,0.47398924827575684,0.7918306589126587,0.4028286635875702,0.7922532558441162,0.6291799545288086,0.7431143522262573,0.47130346298217773,,,0.7351248264312744,0.48209333419799805,0.9747538566589355,0.6923186779022217,,,,,,
0.4653661847114563,0.6729151010513306,0.4053134620189667,0.7061785459518433,0.42471930384635925,0.6382840275764465,0.3629704713821411,0.7688155174255371,0.4220579266548157,0.6101515293121338,0.5914127826690674,0.9126729369163513,0.6284842491149902,0.5767027139663696,0.9292380213737488,0.9699718356132507,0.9310307502746582,0.5054798722267151,0.9287084341049194,0.7576584219932556,,
0.5228927135467529,0.27482062578201294,0.4397328794002533,0.3341089189052582,0.4530251920223236,0.19673560559749603,0.3235318660736084,0.4287344813346863,0.3409798741340637,0.0961388349533081,0.5090384483337402,0.5525155067443848,0.5274728536605835,0.049447350203990936,0.9212621450424194,0.7027081847190857,0.9588320255279541,0.01711815409362316,,,,
0.5479863286018372,0.31102868914604187,0.4955737590789795,0.3487128019332886,0.49204549193382263,0.26947763562202454,0.45107483863830566,0.40302574634552,0.4446696639060974,0.20931541919708252,0.6790802478790283,0.454022616147995,0.6589999198913574,0.103352390229702,0.9674447774887085,0.5417563915252686,0.961718738079071,0.03448373079299927,,,,
0.9388412833213806,0.39573532342910767,0.9009901881217957,0.4402307868003845,0.8966803550720215,0.3478447198867798,0.8066433668136597,0.5847751498222351,0.7581526637077332,0.37978047132492065,0.8604717254638672,0.7378671169281006,0.6617579460144043,0.37946027517318726,,,0.7073087096214294,0.1073102205991745,,,,
